country,sic_division,n_segments,scope1_total,scope2_total,scope3_total,scope23_total,scope123_total,share_scope1,share_scope2,share_scope3
DNK,Services,6,6344.935882568359,7497.243079200306,1.0012632999956723e6,1.0087605430748726e6,1.0151054789574409e6,0.006250518802326724,0.007385678862555557,0.9863638023351178
ESP,Manufacturing,14,996821.0859680176,600881.5439521241,8.076467504283957e6,8.677349048236081e6,9.674170134204099e6,0.10303944133085342,0.062111947135149184,0.8348486115339974
ESP,Retail Trade,4,504126.58544921875,507986.7015981475,7.503801819301087e6,8.011788520899235e6,8.515915106348455e6,0.05919816944551289,0.0596514520464692,0.8811503785080178
ESP,"Finance, Insurance and Real Estate",19,36481.57369977236,156922.6904946647,3.6925985101458337e6,3.8495212006404987e6,3.886002774340271e6,0.009387943297587032,0.04038151787508838,0.9502305388273246
ESP,Services,12,120943.07705688477,163924.06598814897,2.387128661447973e6,2.551052727436122e6,2.671995804493007e6,0.04526319871218245,0.06134892341990502,0.8933878778679125
ESP,"Transportation, Communications, Electric, Gas and Sanitary service",26,5.096561721677327e7,2.884972138519213e6,7.798746826406376e7,8.087244040258297e7,1.3183805761935624e8,0.38657742792238003,0.021882696018237197,0.5915398760593827
ESP,Construction,10,585546.5412387848,169458.88410698474,8.6159033387395e6,8.785362222846484e6,9.370908764085269e6,0.06248556633940746,0.018083505919559158,0.9194309277410334
FIN,Manufacturing,45,4.1062074205031395e6,3.996629178160227e6,3.730302830661243e7,4.129965748477266e7,4.54058649052758e7,0.09043341491389653,0.0880201089990877,0.8215464760870157
FIN,Services,7,30014.20502257347,10905.417431938566,661354.853631189,672260.2710631276,702274.476085701,0.04273856739015349,0.015528711071378506,0.941732721538468
FIN,"Transportation, Communications, Electric, Gas and Sanitary service",8,3.497328903875351e6,152104.85370694168,4.207247209229859e6,4.3593520629368005e6,7.8566809668121515e6,0.4451407558291618,0.019359937656811616,0.5354993065140266
FIN,Retail Trade,5,33413.386080265045,142628.46407304975,6.329899488106487e6,6.472527952179537e6,6.505941338259802e6,0.005135826522715374,0.021922802044692238,0.9729413714325924
FRA,Manufacturing,61,9.99917952009964e6,3.775560971535009e6,1.2209244223187277e8,1.2586800320340778e8,1.358671827235074e8,0.07359525177207937,0.027788616028186552,0.8986161321997341
FRA,Wholesale Trade,4,2.7811824965028763e6,300424.8168375929,1.2363739728470402e7,1.2664164545307994e7,1.544534704181087e7,0.1800660411821216,0.019450829821067588,0.8004831289968108
