country,sic_division,n_segments,scope1_total,sales_total,scope1_intensity_median_group_mean,scope1_intensity_mean_group_mean
ITA,Manufacturing,15,5.315369997924805e6,37817.832115204015,21.199751534058905,57.51465089605456
ITA,"Transportation, Communications, Electric, Gas and Sanitary service",35,3.3521199460704803e7,85031.87325369286,269.3859031917505,556.9448680119262
ITA,Services,5,498378.19959926605,1138.3835408079992,71.75233812504862,367.77808814551236
ITA,"Finance, Insurance and Real Estate",20,36574.76408934593,86383.63583139493,1.8752992989005999,2.348424981171452
ITA,Construction,9,122488.65187263489,5600.487741449206,15.2857751723904,14.87373113890646
JPN,Manufacturing,1368,1.0911471718171455e8,915613.0143531475,55.86452978086051,146.25488321730072
JPN,Wholesale Trade,124,3.09258575389114e6,155755.1314563062,19.012059421419096,200.5686774652882
JPN,"Agriculture, Forestry and Fishing",5,18966.530937194824,8672.008050657396,65.37452360164967,41.17946597942986
JPN,Mining,12,827886.0755615234,3324.8232304202716,155.5974326545346,534.0926829444332
JPN,Retail Trade,228,3.997008444668174e6,112638.04664071093,59.73618317953117,355.4583642413953
JPN,Services,221,2.3394625125141907e6,133733.61880909797,27.416069694226294,66.682332929095
JPN,"Transportation, Communications, Electric, Gas and Sanitary service",131,2.671130352036842e8,340656.15991533105,25.410854274338593,332.85457927155954
JPN,Construction,51,897715.1790161133,77518.53405054586,11.71313545439907,21.461856723227537
JPN,Public Administration,11,47438.20048560668,2916.485000276974,37.44438297913126,226.49448871969113
JPN,"Finance, Insurance and Real Estate",175,1.753160921925284e6,58944.23471657089,14.331229745443949,36.415900140675326
KOR,Manufacturing,8,4.369778318048859e7,79388.32460076975,206.08518012523595,513.9480251051465
NLD,Manufacturing,7,162741.18969726562,41322.19801450226,1.4893231305308563,5.339229958547582
NLD,Services,10,109516.8332901001,23673.61951621406,2.545885035534397,6.919026696111196
NLD,"Transportation, Communications, Electric, Gas and Sanitary service",10,1.2098096470222473e6,16297.753328061077,10.646955047995558,63.073087389419314
NLD,"Finance, Insurance and Real Estate",22,18046.163514971733,42254.393405859126,0.5572759215923622,1.4962364148386351
NOR,Manufacturing,16,1.584232994022131e6,8714.218446606623,2.8580593143119923,52.96070470404417
NOR,Mining,4,302885.5346069336,1121.6035038815444,220.34429763438084,318.9019389418229
NOR,"Transportation, Communications, Electric, Gas and Sanitary service",8,101551.39852905273,10206.518725561702,1.0431515851248865,96.43225346096878
NOR,Services,4,900.0000061392784,3462.876358326432,0.17567036524228372,0.17567036683650727
PRT,"Transportation, Communications, Electric, Gas and Sanitary service",8,7.517580998509526e6,10014.363223839213,22.515208137710676,280.8001705418929
PRT,Retail Trade,4,88971.88403320312,14520.173119807045,7.48620495244462,5.923745228983443
SGP,Services,6,67686.15575027466,2722.1947869754777,172.08539592331127,171.51872030766265
SGP,"Transportation, Communications, Electric, Gas and Sanitary service",9,639396.2219543457,3447.274588574977,1.086585590775861,150.78172304750444
SWE,Manufacturing,39,6.785383177669299e6,39585.64931576122,3.0713086176441613,186.2578734635108
SWE,Services,10,12741.435990214348,22879.104941740286,0.7406318516619513,1.066999311046105
SWE,"Transportation, Communications, Electric, Gas and Sanitary service",14,714284.7090032697,23948.769784921737,1.8479322061766073,61.05726777979032
SWE,Construction,12,178151.62437915802,10590.043215140055,4.419489048639731,10.410557395441836
SWE,"Finance, Insurance and Real Estate",13,10992.32376819849,10447.646703301727,0.22964299581779596,1.4091107421524596
TUR,Manufacturing,11,8.571344031219482e6,13164.828841594453,111.34342594405096,3191.4369390508514
TUR,"Finance, Insurance and Real Estate",8,33759.50993728638,8052.96130118137,12.982483611373585,11.212416807431573
TUR,"Transportation, Communications, Electric, Gas and Sanitary service",4,1.487800666015625e6,1465.3084163093893,892.5622077937887,953.5580138718439
TWN,Manufacturing,32,2.496512640370035e7,128546.45884396299,0.7287889605561912,292.6830977203364
USA,"Agriculture, Forestry and Fishing",5,1.368760091796875e6,9630.281729807577,305.230776170003,678.0527645592358
USA,Manufacturing,515,4.132987839857333e8,2.085136586312525e6,19.119551601912356,792.6491967894983
USA,Wholesale Trade,21,3.8381159396009445e6,261081.46870839238,7.973938377307464,79.69898835536762
USA,Mining,100,1.0914409634750462e8,142001.78273193823,625.4097971171695,2504.5524160917607
USA,"Transportation, Communications, Electric, Gas and Sanitary service",109,5.055538377310407e8,347779.5457019683,508.23024392961435,2632.4105005716215
USA,Services,104,1.3496984890419096e6,337661.6339498165,1.1973482962369746,10.367621250754215
USA,Retail Trade,64,8.293386538515091e6,817548.5293847561,5.074744251694899,7.501227363281653
USA,"Finance, Insurance and Real Estate",64,3.186001654323846e6,237218.83166630898,1.0604931650911125,562.9307933861461
USA,Public Administration,23,9137.883771896362,720.6036972927807,12.680287472059518,12.705408808873168
ZAF,Mining,9,1.2582547965393066e6,12432.08704934326,165.99653489740567,153.73323521321862
ZAF,Manufacturing,5,9.4872294453125e6,3231.019893185483,4235.836492288033,2626.8892319155857
ZAF,"Finance, Insurance and Real Estate",9,16012.434313297272,5921.701998426716,1.5426015277143053,5.138397412774314
