FACTSET_ENTITY_ID,ISO_COUNTRY,YEAR,g_S3_est,SALES,accounting_year,g_S3_CDP_c
05HGD6-E,ESP,2015,1.4472293870421248e6,3831.1042535213987,2015,391189.81078058947
05DZGP-E,ESP,2015,5.646689043968033e6,39838.43349713831,2015,684523.4465924099
09Q519-E,ESP,2015,233276.46418814408,3043.757793556689,2015,5879.310996019079
05HJX4-E,ESP,2015,205714.27532861588,1373.2110000000002,2015,3326.9912514429598
05HKLH-E,ESP,2015,524105.70991649816,3598.923,2015,4654.682645376591
06WSS6-E,ESP,2015,371100.0623937653,5938.858,2015,21536.267169238985
06Y6NS-E,ESP,2015,577184.279110981,8410.169000000002,2015,10180.765063255625
003HWW-E,ESP,2015,388791.66085955175,2515.0410972485993,2015,2532.7022770733684
05HXRV-E,FIN,2015,304158.70030563156,545.9320665954647,2015,4214.926174670162
002V9S-E,FIN,2015,5.148054112396695e6,7670.645125452515,2015,1.2994969758208739e6
002V58-E,FIN,2015,3.722974002865458e6,5563.562146601066,2015,2.542185466017992e6
05HX7G-E,FIN,2015,1.4438196096740551e6,1640.1885779448608,2015,370441.4313237841
05HXKW-E,FIN,2015,1.5234478985465807e6,1969.404733009993,2015,563715.4819632701
063XQ2-E,FIN,2015,54492.09715231649,221.67389747885966,2015,3482.419400515371
05LP7T-E,FIN,2015,5.888513193094691e6,6132.91422137951,2015,2.1989424802652574e6
05JTW6-E,FIN,2015,679546.0263497231,1042.6098835066805,2015,119992.19693976133
05HHKF-E,FIN,2015,8.012152773924892e6,4673.76844330581,2015,1300.9706613826613
000RCG-E,FIN,2015,3.6742614186694715e6,10213.927008458182,2015,1.3916828813884568e6
002CKG-E,FIN,2015,977592.6374128817,2305.116233228578,2015,272248.99538271193
05HX0F-E,FIN,2015,1.5356784483711896e6,3823.62607991139,2015,1.6475340985840044e6
05HZJ9-E,FIN,2015,388591.09816124087,911.741267778174,2015,733867.2619233255
0DH64Z-E,FIN,2015,630297.7417673662,1396.7105516798642,2015,418305.81245695095
05HJM0-E,FIN,2015,2.311883246662326e6,3423.8774001877664,2015,2.95661185061889e6
05HZ28-E,FIN,2015,5.4567100700566545e6,7313.940130197656,2015,2.859818678385561e6
05HZWM-E,FIN,2015,1.4893065280011105e6,1942.8278863407995,2015,5.51471753518727e6
05HXDY-E,FIN,2015,308566.6902788505,1281.2852708741216,2015,69734.01610696988
05HZ7G-E,FIN,2015,200380.17433301485,584.6320000000001,2015,2662.6539960053824
05HYXL-E,FIN,2015,1.6407128527606307e6,4428.404798563498,2015,23783.71072803713
001YMJ-E,FRA,2015,1.1542069357597312e7,18599.42643639963,2015,7.464937839626644e6
005M9Z-E,FRA,2015,4.810490233701132e6,29447.858425594266,2015,3.616361330818859e6
05H41J-E,FRA,2015,8.863311188828543e6,14158.037430406257,2015,879343.8393595995
05HGJH-E,FRA,2015,3.835946355344874e6,9319.643043117088,2015,8.63619897456135e6
002X73-E,FRA,2015,9.53609694551645e6,33251.12417319066,2015,2.247639270206086e6
0011MS-E,FRA,2015,5.267411423825058e6,37841.893256014904,2015,1.2121978233188244e6
05HFTC-E,FRA,2015,7.143550744271983e6,20686.86693950567,2015,2.5712166250586393e6
05HX6D-E,FRA,2015,1.3686569687290855e6,3695.7018143295295,2015,101455.12230266332
05HHFX-E,FRA,2015,2.934297601858392e6,11082.263909670142,2015,1.5737681785308886e6
05HK8H-E,FRA,2015,3.0291923539286796e6,12310.702682500418,2015,4.0460311590739563e6
064R06-E,FRA,2015,1.122651445767601e6,3735.0540932816693,2015,1.1806976685710822e6
05HYYK-E,FRA,2015,374324.43091907894,826.4581657806045,2015,83030.83326826697
05H41M-E,FRA,2015,1.4333798702472737e6,5203.751469701891,2015,20145.701794458026
05GJN3-E,FRA,2015,1.3863684274222389e7,44122.5702249964,2015,6.120227340556424e6
05HDYJ-E,FRA,2015,9.347969446043294e6,34724.446379475965,2015,1.0585986571582103e7
05HDZS-E,FRA,2015,363606.88178802293,1685.463323899334,2015,69473.65847981296
05HHCW-E,FRA,2015,2.302529219839145e7,57870.69411559587,2015,1.4305200459181815e7
0655BR-E,FRA,2015,6.409851276337909e6,13606.672581585293,2015,1.610775646829083e6
0024DP-E,FRA,2015,9.519431177072667e6,22654.016441332606,2015,5.9788805999171315e6
05HFMC-E,FRA,2015,5.485967543031933e6,12985.312833801509,2015,59515.24191565368
002KZL-E,FRA,2015,1.252790450192067e6,4931.614668022029,2015,863691.0763781454
05HWZ3-E,FRA,2015,26136.958118995884,810.718867153937,2015,130385.70522097162
070ZLB-E,FRA,2015,59895.118376057384,830.1483701789331,2015,205004.3563571619
003K9V-E,FRA,2015,1.6335240081721009e6,5988.14881613607,2015,179914.12530508288
05HDYF-E,FRA,2015,4.0098475743728545e6,14836.513853127557,2015,7.554803801109846e6
000VF7-E,FRA,2015,4.858982600665762e6,11441.189252095977,2015,448920.498830484
05HFMZ-E,FRA,2015,1.547021169053186e6,5203.875036997383,2015,1.8014502946425278e6
05ZKN9-E,FRA,2015,1.148740148621966e7,23531.24210549845,2015,741003.8984064384
08V0XH-E,FRA,2015,324022.65755057655,854.191796971583,2015,29342.959531694498
05HZTV-E,FRA,2015,188086.80547472986,2114.3132648001992,2015,130842.1520937352
001G7R-E,FRA,2015,284050.49178621557,1709.3040195495648,2015,433246.4137589205
003PTZ-E,FRA,2015,96693.75884548335,915.1416766061122,2015,13906.448906542586
05HZVD-E,FRA,2015,56094.845789716885,1139.960967881783,2015,2162.53442938347
05FWBG-E,FRA,2015,615515.4281354817,10570.953354447262,2015,49694.25690297525
05G3GH-E,FRA,2015,137819.84622044384,2089.215,2015,3219.7810623584655
06GTV0-E,FRA,2015,245627.4769296024,3819.159000000001,2015,11510.810097170921
001VPR-E,FRA,2015,1.0431731927412273e7,76421.94632418547,2015,46196.95617326905
05GNMJ-E,FRA,2015,4.0100526933651995e6,26495.827999999998,2015,5910.725381208822
05HWRV-E,FRA,2015,24763.23908098818,444.1420743597082,2015,234.42522528021357
004175-E,FRA,2015,276600.6532555399,4080.4712843701996,2015,8145.114170701591
05HWK3-E,FRA,2015,444847.7027735994,2495.2468904129255,2015,5197.711351985493
05HZLW-E,FRA,2015,228443.59191400118,1388.7376071720769,2015,8601.449501855463
000VLZ-E,GBR,2015,7.10420516365778e6,29857.4509691893,2015,1.5070770077641332e6
002JWK-E,GBR,2015,4.7155621652921485e6,14134.274098624655,2015,1.1602862119603688e6
05HWXC-E,GBR,2015,527961.1445511145,2573.9285883394073,2015,112364.0447080306
066L2H-E,GBR,2015,1.8471987530519468e8,199984.99414104657,2015,6.882630454336614e6
002BV8-E,GBR,2015,1.126121819898742e7,42911.84527557041,2015,9.459060748177676e6
05HG2T-E,GBR,2015,3.517177526575121e6,9744.006069425384,2015,3.875510236642262e6
000Z35-E,GBR,2015,1.0386039113930538e6,8949.04071226996,2015,3.079444732214472e6
05FT2R-E,GBR,2015,3.82455793933926e6,28093.38474487913,2015,2.5617729636965743e6
05HGT0-E,GBR,2015,3.963630529508122e6,11941.618300792368,2015,5.720967400005732e6
003JJM-E,GBR,2015,4.0132132642614255e6,5361.518892577235,2015,2.098878446630131e7
05G5M5-E,GBR,2015,2.0454219684113772e6,6703.129737884783,2015,11723.87307611564
05HXPT-E,GBR,2015,534339.3158760188,3708.989955075207,2015,43800.50807939953
05HZ2F-E,GBR,2015,984140.426299288,4306.501696055149,2015,9587.567151432533
000D1T-E,GBR,2015,548894.0183520345,12166.216729085709,2015,1.0237931612168181e6
05HWSB-E,GBR,2015,4.0558949691328136e6,8317.350218461715,2015,5.416892890930586e6
05J2CZ-E,GBR,2015,202892.98342305707,535.8475530533411,2015,29415.725620048346
000TWC-E,GBR,2015,1.6618020732053632e7,46909.61393585872,2015,8544.34438587151
0030BD-E,GBR,2015,1.4515311865227558e6,13652.91094392443,2015,694079.7787684042
003GSQ-E,GBR,2015,20677.676700617474,203.0330565334858,2015,2653.166262368521
07JRZL-E,GBR,2015,2.9927115830070493e6,22326.41803449026,2015,339849.01927995076
002J95-E,GBR,2015,7.279839411703283e6,35998.99095320548,2015,1.135253038669949e6
002118-E,GBR,2015,563508.6443264643,6413.6473558203015,2015,673503.5892132771
00CN10-E,GBR,2015,22189.037936493092,354.0940323846554,2015,208.3804281750733
05HM5J-E,GBR,2015,16941.652236392136,267.04815492439104,2015,1813.2206356998768
05HX8P-E,GBR,2015,62063.10281111213,788.8431783812475,2015,2989.092417106165
05HYXR-E,GBR,2015,36342.31496368737,321.73179560321336,2015,208163.18060627146
05HZMT-E,GBR,2015,8823.724968032368,246.28395190849935,2015,295.4262147232685
05J10J-E,GBR,2015,656117.955639224,2944.768489295674,2015,731.211447696916
05J198-E,GBR,2015,86643.6860215754,912.4758715071756,2015,1577.589166601894
05J2PN-E,GBR,2015,134575.22761966515,770.4755063356057,2015,10456.98830738936
07GCWC-E,GBR,2015,42067.14590452989,677.8832037275891,2015,2636.760852735155
05G2MG-E,GBR,2015,6.164582179061251e6,27019.783997451923,2015,304703.0997000019
05J0C0-E,GBR,2015,23021.532623914343,135.19135189509632,2015,5545.672577612563
095B5H-E,GBR,2015,10333.75768761939,98.35447126972944,2015,82178.25552281011
0658S3-E,GBR,2015,48962.0503662696,820.2220875735102,2015,2796.11701055063
005PTH-E,GBR,2015,32826.574192313696,388.3869334936442,2015,1707.0560749053477
003KSM-E,GRC,2015,121774.79872535009,1312.1957369414336,2015,13039.872041221148
003L1W-E,HKG,2015,8.687958012428192e6,2681.228044514144,2015,13576.201003210403
05J0CK-E,IND,2015,1.2064779483601246e6,1926.434191564337,2015,126749.73907778003
05J20N-E,IND,2015,517128.08563044807,432.8434805918506,2015,124502.34504050785
05LYCN-E,IND,2015,2.0597127471157633e7,12299.05109717749,2015,4.854057134672812e6
003QDR-E,IND,2015,9.953801694651417e6,5339.432327869756,2015,1647.8557983688472
05J289-E,IND,2015,2.2897462880121665e6,1539.6450051984862,2015,77672.4523381353
05HZ5F-E,IND,2015,1.317859494143451e6,1460.1877609154621,2015,1.3161912654132936e6
05M21L-E,IND,2015,96074.24387241923,305.2250457494098,2015,144400.47879048865
05HXPL-E,IND,2015,1.1088758511500016e7,8393.478952267607,2015,129557.61740590735
05LBFM-E,IND,2015,5.032468815415942e6,11021.115861511915,2015,256200.3977093791
06JLTG-E,IND,2015,1.008671113233625e6,2900.568860985879,2015,33124.107745012865
00B7VX-E,IRL,2015,698120.4123173626,4789.8899853888515,2015,153417.31766849515
05HGDN-E,IRL,2015,1.4169089402813902e6,5412.955295910872,2015,147412.8911079524
003B3F-E,ISR,2015,1.9511080248358299e6,3973.0822685338203,2015,28855.944688916756
05DZHK-E,ITA,2015,6.620415155013089e6,56612.327874595496,2015,3.0647175958398157e6
000JP9-E,ITA,2015,2.4060217288838765e6,10237.653235060547,2015,147149.80928966633
05HQ2V-E,ITA,2015,552255.4343631801,1615.5769776468635,2015,5.553412649750379e6
0031L0-E,ITA,2015,1.6913581410249703e7,48961.98367899608,2015,1.9478692100834474e6
05HGSK-E,ITA,2015,2.6491015860725376e6,3150.280194494529,2015,5496.4792212807115
05HWFH-E,ITA,2015,902809.953539541,3739.150024108801,2015,178892.86831498856
071XK1-E,ITA,2015,4.3098162594238715e6,5944.282701080023,2015,488627.7948935737
09W4PM-E,ITA,2015,4.26978838999928e6,4391.21418760513,2015,241.15610434479856
002111-E,ITA,2015,1.7292030586244871e6,12511.737969902724,2015,4.321522571621555e6
003FNP-E,ITA,2015,851889.5941950439,8806.812,2015,15647.987059864223
05G1SW-E,ITA,2015,1.0582636498896457e7,73558.20752573984,2015,21382.758742914913
05HDYG-E,ITA,2015,342622.1189282786,3563.444343796917,2015,86441.56172234708
05L6HL-E,ITA,2015,186648.51016008502,1010.6699055222568,2015,349133.02518948057
06QC6V-E,ITA,2015,40139.52945238867,613.3969999999999,2015,390.4920773205496
05HX6H-E,JPN,2015,1.7543353520020605e6,2551.724697579419,2015,533521.4800984813
05HWC1-E,JPN,2015,3.8818040780176697e6,7282.372981969867,2015,1.1902701863224574e6
05HWDP-E,JPN,2015,769357.0730478768,2156.9227143704416,2015,86117.75398504068
05HWDG-E,JPN,2015,4.169513380630898e6,6451.689147062419,2015,554042.7760657849
05HWH8-E,JPN,2015,2.5548286225367533e6,4652.727863775027,2015,590235.6159257949
001NDC-E,JPN,2015,57029.74611095677,1186.2453075329647,2015,253610.0319956962
001RJ7-E,JPN,2015,1.05571682827697e7,31705.606814290597,2015,5.424807991224074e6
05HT4M-E,JPN,2015,923188.5663384824,2247.6682457996367,2015,325261.9099859097
05HX1B-E,JPN,2015,1.3382994374974368e6,1884.0618827076078,2015,393437.73009128036
05HWBT-E,JPN,2015,2.429295730247284e6,5297.257566344431,2015,1.061684632656888e6
05HWLL-E,JPN,2015,1.4180258328792856e6,2715.8463057033478,2015,602487.8780226199
05HWL9-E,JPN,2015,1.3211198223519472e6,1838.4255362148606,2015,346987.336009278
05HWN9-E,JPN,2015,1.5088902667316953e6,2013.8733930297433,2015,35339.12125015997
05J3B4-E,JPN,2015,91021.03763165354,236.24277051901305,2015,80035.4232657404
05HWF7-E,JPN,2015,4.0738546976581025e6,7752.039856764146,2015,321061.9466750827
05HWV5-E,JPN,2015,1.0845107565852785e6,2886.5283115181364,2015,434143.7580766104
003JNC-E,JPN,2015,976454.176008992,2700.7636524373956,2015,15252.864329385051
05HWBL-E,JPN,2015,3.8442446776637747e6,6530.960594624019,2015,58375.50874158576
05HWGY-E,JPN,2015,374181.50999685616,1151.9382399982949,2015,1625.6455721978389
062SS6-E,JPN,2015,2.1895188813734786e6,5383.429272343556,2015,246406.161864806
